package_manager,name,version,licenses,homepage,approved
Go,github.com/monochromegane/go-gitignore,v0.0.0-20200626010858-205db1a8cc00,MIT,"",Approved
Go,github.com/mostynb/go-grpc-compression,v1.1.16,Apache 2.0,"",Approved
Go,github.com/muesli/reflow,v0.3.0,MIT,"",Approved
Go,github.com/muesli/termenv,v0.12.0,MIT,"",Approved
Go,github.com/mwitkow/go-conntrack,v0.0.0-20190716064945-2f068394615f,Apache 2.0,"",Approved
Go,github.com/mxk/go-flowrate,v0.0.0-20140419014527-cca7078d478f,New BSD,"",Approved
Go,github.com/neelance/parallel,v0.0.0-20160708114440-4de9ce63d14c,Simplified BSD,"",Approved
Go,github.com/oklog/ulid,v1.3.1,Apache 2.0,"",Approved
Go,github.com/olekukonko/tablewriter,v0.0.5,MIT,"",Approved
Go,github.com/opencontainers/go-digest,v1.0.0,Apache 2.0,"",Approved
Go,github.com/opentracing-contrib/go-stdlib,v1.0.0,Apache 2.0,"",Approved
Go,github.com/opentracing/opentracing-go,v1.2.0,Apache 2.0,"",Approved
Go,github.com/opsgenie/opsgenie-go-sdk-v2,v1.2.13,Apache 2.0,"",Approved
Go,github.com/peterbourgon/ff,v1.7.1,Apache 2.0,"",Approved
Go,github.com/peterbourgon/ff/v3,v3.1.2,Apache 2.0,"",Approved
Go,github.com/peterhellberg/link,v1.1.0,MIT,"",Approved
Go,github.com/pkg/errors,v0.9.1,Simplified BSD,"",Approved
Go,github.com/pmezard/go-difflib,v1.0.0,New BSD,"",Approved
Go,github.com/pquerna/cachecontrol,v0.1.0,Apache 2.0,"",Approved
Go,github.com/prometheus/client_golang,v1.12.2,Apache 2.0,"",Approved
Go,github.com/prometheus/client_model,v0.2.0,Apache 2.0,"",Approved
Go,github.com/prometheus/common,v0.32.1,"Apache 2.0,New BSD","",Approved
Go,github.com/prometheus/common/sigv4,v0.1.0,Apache 2.0,"",Approved
Go,github.com/prometheus/procfs,v0.7.3,Apache 2.0,"",Approved
Go,github.com/qustavo/sqlhooks/v2,v2.1.0,MIT,"",Approved
Go,github.com/rivo/uniseg,v0.2.0,MIT,"",Approved
Go,github.com/rjeczalik/notify,v0.9.2,MIT,"",Approved
Go,github.com/rogpeppe/go-internal,v1.9.0,New BSD,"",Approved
Go,github.com/rs/cors,v1.8.2,MIT,"",Approved
Go,github.com/rs/xid,v1.4.0,MIT,"",Approved
Go,github.com/russellhaering/goxmldsig,v1.1.1,Apache 2.0,"",Approved
Go,github.com/russross/blackfriday,v1.5.2,Simplified BSD,"",Approved
Go,github.com/russross/blackfriday/v2,v2.1.0,Simplified BSD,"",Approved
Go,github.com/schollz/progressbar/v3,v3.8.5,MIT,"",Approved
Go,github.com/segmentio/fasthash,v1.0.3,MIT,"",Approved
Go,github.com/segmentio/ksuid,v1.0.4,MIT,"",Approved
Go,github.com/sergi/go-diff,v1.2.0,"Apache 2.0,MIT","",Approved
Go,github.com/shurcooL/github_flavored_markdown,v0.0.0-20210228213109-c3a9aa474629,MIT,"",Approved
Go,github.com/shurcooL/highlight_diff,v0.0.0-20181222201841-111da2e7d480,MIT,"",Approved
Go,github.com/shurcooL/highlight_go,v0.0.0-20191220051317-782971ddf21b,MIT,"",Approved
Go,github.com/shurcooL/octicon,v0.0.0-20191102190552-cbb32d6a785c,MIT,"",Approved
Go,github.com/shurcooL/sanitized_anchor_name,v1.0.0,MIT,"",Approved
Go,github.com/sirupsen/logrus,v1.8.1,MIT,"",Approved
Go,github.com/slack-go/slack,v0.10.1,"MIT,Simplified BSD","",Approved
Go,github.com/smacker/go-tree-sitter,v0.0.0-20220209044044-0d3022e933c3,MIT,"",Approved
Go,github.com/snabb/diagio,v1.0.0,MIT,"",Approved
Go,github.com/snabb/sitemap,v1.0.0,MIT,"",Approved
Go,github.com/sourcegraph/alertmanager,v0.21.1-0.20211110092431-863f5b1ee51b,Apache 2.0,"",Approved
Go,github.com/sourcegraph/annotate,v0.0.0-20160123013949-f4cad6c6324d,New BSD,"",Approved
Go,github.com/sourcegraph/go-ctags,v0.0.0-20220611154803-db463692f037,Apache 2.0,"",Approved
Go,github.com/sourcegraph/go-diff,v0.6.1,MIT,"",Approved
Go,github.com/sourcegraph/go-jsonschema,v0.0.0-20211011105148-2e30f7bacbe1,MIT,"",Approved
Go,github.com/sourcegraph/go-langserver,v2.0.1-0.20181108233942-4a51fa2e1238,"MIT,New BSD","",Approved
Go,github.com/sourcegraph/go-lsp,v0.0.0-20200429204803-219e11d77f5d,MIT,"",Approved
Go,github.com/sourcegraph/go-rendezvous,v0.0.0-20210910070954-ef39ade5591d,MIT,"",Approved
Go,github.com/sourcegraph/gologin,v1.0.2-0.20181110030308-c6f1b62954d8,MIT,"",Approved
Go,github.com/sourcegraph/gosaml2,v0.6.1-0.20210128133756-84151d087b10,Apache 2.0,"",Approved
Go,github.com/sourcegraph/httpgzip,v0.0.0-20211015085752-0bad89b3b4df,MIT,"",Approved
Go,github.com/sourcegraph/jsonx,v0.0.0-20200629203448-1a936bd500cf,MIT,"",Approved
Go,github.com/sourcegraph/log,v0.0.0-20220901143117-fc0516a694c9,Apache 2.0,"",Approved
Go,github.com/sourcegraph/oauth2,v0.0.0-20210825125341-77c1d99ece3c,New BSD,"",Approved
Go,github.com/sourcegraph/otelsql,v0.0.0-20220905085252-74375c884fff,Apache 2.0,"",Approved
Go,github.com/sourcegraph/run,v0.9.0,Apache 2.0,"",Approved
Go,github.com/sourcegraph/scip,v0.1.0,Apache 2.0,"",Approved
Go,github.com/sourcegraph/syntaxhighlight,v0.0.0-20170531221838-bd320f5d308e,New BSD,"",Approved
Go,github.com/sourcegraph/yaml,v1.0.1-0.20200714132230-56936252f152,MIT,"",Approved
Go,github.com/sourcegraph/zoekt,v0.0.0-20220906183641-6ba33af2cc5f,Apache 2.0,"",Approved
Go,github.com/stretchr/testify,v1.8.0,MIT,"",Approved
Go,github.com/throttled/throttled/v2,v2.9.0,New BSD,"",Approved
Go,github.com/tidwall/gjson,v1.14.0,MIT,"",Approved
Go,github.com/tidwall/match,v1.1.1,MIT,"",Approved
Go,github.com/tidwall/pretty,v1.2.0,MIT,"",Approved
Go,github.com/tj/go-naturaldate,v1.3.0,MIT,"",Approved
Go,github.com/tomnomnom/linkheader,v0.0.0-20180905144013-02ca5825eb80,MIT,"",Approved
Go,github.com/uber/gonduit,v0.13.0,MIT,"",Approved
Go,github.com/uber/jaeger-client-go,v2.30.0,Apache 2.0,"",Approved
Go,github.com/uber/jaeger-lib,v2.4.1,Apache 2.0,"",Approved
