package_manager,name,version,licenses,homepage,approved
Yarn,@jest/globals,25.5.2,MIT,Unknown,Approved
Yarn,@jest/reporters,25.5.1,MIT,https://jestjs.io/,Approved
Yarn,@jest/source-map,24.9.0,MIT,Unknown,Approved
Yarn,@jest/source-map,25.5.0,MIT,Unknown,Approved
Yarn,@jest/test-result,24.9.0,MIT,Unknown,Approved
Yarn,@jest/test-result,25.5.0,MIT,Unknown,Approved
Yarn,@jest/test-sequencer,25.5.4,MIT,Unknown,Approved
Yarn,@jest/transform,24.9.0,MIT,Unknown,Approved
Yarn,@jest/transform,25.5.1,MIT,Unknown,Approved
Yarn,@jest/types,24.9.0,MIT,Unknown,Approved
Yarn,@jest/types,25.5.0,MIT,Unknown,Approved
Yarn,@jsdevtools/ono,7.1.2,MIT,https://jstools.dev/ono,Approved
Yarn,@mrmlnc/readdir-enhanced,2.2.1,MIT,https://github.com/bigstickcarpet/readdir-enhanced,Approved
Yarn,@nodelib/fs.scandir,2.1.3,MIT,Unknown,Approved
Yarn,@nodelib/fs.stat,1.1.3,MIT,Unknown,Approved
Yarn,@nodelib/fs.stat,2.0.3,MIT,Unknown,Approved
Yarn,@nodelib/fs.walk,1.2.4,MIT,Unknown,Approved
Yarn,@npmcli/move-file,1.0.1,MIT,Unknown,Approved
Yarn,@oclif/color,0.0.0,MIT,https://github.com/oclif/color,Approved
Yarn,@oclif/command,1.5.10,MIT,https://github.com/oclif/command,Approved
Yarn,@oclif/config,1.12.9,MIT,https://github.com/oclif/config,Approved
Yarn,@oclif/errors,1.2.2,MIT,https://github.com/oclif/errors,Approved
Yarn,@oclif/linewrap,1.0.0,ISC,https://github.com/heroku/node-linewrap#readme,Approved
Yarn,@oclif/parser,3.7.2,MIT,https://github.com/oclif/parser,Approved
Yarn,@oclif/plugin-help,2.1.6,MIT,https://github.com/oclif/plugin-help,Approved
Yarn,@oclif/plugin-not-found,1.2.2,MIT,https://github.com/oclif/plugin-not-found,Approved
Yarn,@oclif/screen,1.0.4,MIT,https://github.com/oclif/screen,Approved
Yarn,@octokit/endpoint,5.5.1,MIT,https://github.com/octokit/endpoint.js#readme,Approved
Yarn,@octokit/request,5.3.1,MIT,https://github.com/octokit/request.js#readme,Approved
Yarn,@octokit/request-error,1.2.0,MIT,https://github.com/octokit/request-error.js#readme,Approved
Yarn,@octokit/rest,16.36.0,MIT,https://github.com/gr2m,Approved
Yarn,@octokit/types,2.0.1,MIT,https://twitter.com/gr2m,Approved
Yarn,@percy/agent,0.4.8,MIT,https://github.com/percy/percy-agent,Approved
Yarn,@percy/puppeteer,1.1.0,MIT,Unknown,Approved
Yarn,@percy/react-percy-api-client,0.4.6,MIT,Unknown,Approved
Yarn,@percy/storybook,3.3.0,MIT,Unknown,Approved
Yarn,@phenomnomnominal/tsquery,4.0.0,MIT,Unknown,Approved
Yarn,@primer/octicons-react,9.6.0,MIT,https://octicons.github.com/,Approved
Yarn,@reach/accordion,0.10.2,MIT,Unknown,Approved
Yarn,@reach/auto-id,0.10.2,MIT,Unknown,Approved
